did,fair_aggregate,fair_F,fair_A,fair_I,fair_R,status,upload_date,NumberOfInstances,NumberOfFeatures,MajorityClassPercentage,upload_date_ordinal
3456,0.4687138076442883,0.4687138076442883,0.4687138076442883,0.4687138076442883,0.4687138076442883,fallback,,289.0,1026.0,,
3455,0.49329411634414494,0.49329411634414494,0.49329411634414494,0.49329411634414494,0.49329411634414494,fallback,,998.0,1026.0,,
3454,0.43740328237299936,0.43740328237299936,0.43740328237299936,0.43740328237299936,0.43740328237299936,fallback,,59.0,1026.0,,
3453,0.40985355028912956,0.40985355028912956,0.40985355028912956,0.40985355028912956,0.40985355028912956,fallback,,14.0,1026.0,,
3452,0.49212659150768695,0.49212659150768695,0.49212659150768695,0.49212659150768695,0.49212659150768695,fallback,,941.0,1026.0,,
3485,0.44852448827263963,0.44852448827263963,0.44852448827263963,0.44852448827263963,0.44852448827263963,fallback,,104.0,1026.0,,
3450,0.49137414621244485,0.49137414621244485,0.49137414621244485,0.49137414621244485,0.49137414621244485,fallback,,906.0,1026.0,,
3449,0.4853553361991256,0.4853553361991256,0.4853553361991256,0.4853553361991256,0.4853553361991256,fallback,,669.0,1026.0,,
3448,0.4174647288640246,0.4174647288640246,0.4174647288640246,0.4174647288640246,0.4174647288640246,fallback,,21.0,1026.0,,
3447,0.4436110829123758,0.4436110829123758,0.4436110829123758,0.4436110829123758,0.4436110829123758,fallback,,81.0,1026.0,,
3445,0.4812152389934115,0.4812152389934115,0.4812152389934115,0.4812152389934115,0.4812152389934115,fallback,,543.0,1026.0,,
3444,0.48796445482648504,0.48796445482648504,0.48796445482648504,0.48796445482648504,0.48796445482648504,fallback,,763.0,1026.0,,
3443,0.43123959490595953,0.43123959490595953,0.43123959490595953,0.43123959490595953,0.43123959490595953,fallback,,43.0,1026.0,,
3442,0.40541903390692074,0.40541903390692074,0.40541903390692074,0.40541903390692074,0.40541903390692074,fallback,,11.0,1026.0,,
3441,0.4578648379323658,0.4578648379323658,0.4578648379323658,0.4578648379323658,0.4578648379323658,fallback,,167.0,1026.0,,
3440,0.48553251060529456,0.48553251060529456,0.48553251060529456,0.48553251060529456,0.48553251060529456,fallback,,675.0,1026.0,,
3451,0.40541903390692074,0.40541903390692074,0.40541903390692074,0.40541903390692074,0.40541903390692074,fallback,,11.0,1026.0,,
3484,0.4498070578453766,0.4498070578453766,0.4498070578453766,0.4498070578453766,0.4498070578453766,fallback,,111.0,1026.0,,
3483,0.43773176804895736,0.43773176804895736,0.43773176804895736,0.43773176804895736,0.43773176804895736,fallback,,60.0,1026.0,,
3482,0.49872568836155456,0.49872568836155456,0.49872568836155456,0.49872568836155456,0.49872568836155456,fallback,,1312.0,1026.0,,
3481,0.40368986282208974,0.40368986282208974,0.40368986282208974,0.40368986282208974,0.40368986282208974,fallback,,10.0,1026.0,,
3480,0.48031856369965914,0.48031856369965914,0.48031856369965914,0.48031856369965914,0.48031856369965914,fallback,,519.0,1026.0,,
3479,0.447153397703082,0.447153397703082,0.447153397703082,0.447153397703082,0.447153397703082,fallback,,97.0,1026.0,,
3478,0.44312036832794505,0.44312036832794505,0.44312036832794505,0.44312036832794505,0.44312036832794505,fallback,,79.0,1026.0,,
3477,0.44312036832794505,0.44312036832794505,0.44312036832794505,0.44312036832794505,0.44312036832794505,fallback,,79.0,1026.0,,
3476,0.49946841048615936,0.49946841048615936,0.49946841048615936,0.49946841048615936,0.49946841048615936,fallback,,1362.0,1026.0,,
3475,0.5192606236363025,0.5192606236363025,0.5192606236363025,0.5192606236363025,0.5192606236363025,fallback,,3689.0,1026.0,,
3462,0.46592261801935503,0.46592261801935503,0.46592261801935503,0.46592261801935503,0.46592261801935503,fallback,,251.0,1026.0,,
3472,0.4859110540682428,0.4859110540682428,0.4859110540682428,0.4859110540682428,0.4859110540682428,fallback,,688.0,1026.0,,
3471,0.45214775197742013,0.45214775197742013,0.45214775197742013,0.45214775197742013,0.45214775197742013,fallback,,125.0,1026.0,,
3470,0.4804708474404389,0.4804708474404389,0.4804708474404389,0.4804708474404389,0.4804708474404389,fallback,,523.0,1026.0,,
3469,0.4415710439993075,0.4415710439993075,0.4415710439993075,0.4415710439993075,0.4415710439993075,fallback,,73.0,1026.0,,
3468,0.4830627829835818,0.4830627829835818,0.4830627829835818,0.4830627829835818,0.4830627829835818,fallback,,596.0,1026.0,,
3467,0.4255225089510138,0.4255225089510138,0.4255225089510138,0.4255225089510138,0.4255225089510138,fallback,,32.0,1026.0,,
3466,0.4316861964180536,0.4316861964180536,0.4316861964180536,0.4316861964180536,0.4316861964180536,fallback,,44.0,1026.0,,
3465,0.4824886736862233,0.4824886736862233,0.4824886736862233,0.4824886736862233,0.4824886736862233,fallback,,579.0,1026.0,,
3464,0.44312036832794505,0.44312036832794505,0.44312036832794505,0.44312036832794505,0.44312036832794505,fallback,,79.0,1026.0,,
